조사연도,시도,지역,기관명,기관유형대분류,기관유형소분류,우편번호,기관주소1,기관주소2,기관대표 전화번호
2023,서울,동대문구,한국사이버평생교육원,원격형태,,025-82,서울특별시 동대문구 왕산로 14,11층,02-1544-9007
2023,서울,동대문구,글로리아평생교육원,지식·인력개발형태,,025-82,서울특별시 동대문구 왕산로 14,글로리아타워,02-944-8665
2023,서울,동대문구,동화세상에듀코원격평생교육원,원격형태,,025-80,서울특별시 동대문구 왕산로 25(신규동),,02-3668-5485
2023,서울,동대문구,홈플러스문화센터동대문점,사업장부설,유통업체 문화센터,025-65,서울특별시 동대문구 천호대로 133(용두동),,02-2173-8003
2023,서울,동대문구,고시포코,원격형태,,026-02,서울특별시 동대문구 황물로 103(답십리동),,02-2244-7125
2023,서울,중랑구  ,홈플러스문화센터신내점,사업장부설,유통업체 문화센터,020-24,서울특별시 중랑구 신내로 201(신내동),,02-2024-8003
2023,서울,동대문구,남서울평생교육원,지식·인력개발형태,,025-80,서울특별시 동대문구 한빛로 12(신규동),,02-922-4177
2023,서울,중랑구  ,다윗실용음악평생교육원,시민사회단체부설,,020-86,서울특별시 중랑구 신내로1길 14(신내동),,02-433-4826
2023,서울,중랑구  ,중랑배움평생교육원,언론기관부설,,022-43,서울특별시 중랑구 답십리로77길 105,2층,02-6339-5300
2023,서울,동대문구,롯데쇼핑(주)청량리점문화센터,사업장부설,유통업체 문화센터,025-55,서울특별시 동대문구 왕산로 214(전농동),롯데백화점8층,02-3707-2830
2023,서울,중랑구  ,이마트묵동점문화센터,사업장부설,유통업체 문화센터,020-33,서울특별시 중랑구 동일로 932(묵동),,02-2083-1250
2023,서울,동대문구,삼육보건대학교 사이버지식교육원,원격형태,,025-00,서울특별시 동대문구 망우로 82(휘경동),,070-4652-1926
2023,서울,중랑구  ,글로벌평생교육원,시민사회단체부설,,020-50,서울특별시 중랑구 동일로 806,3층,02-421-5788
2023,서울,동대문구,구당침뜸원격평생교육원,원격형태,,024-64,서울특별시 동대문구 제기로 93(청량리동),,02-964-7994
2023,서울,중랑구  ,홈플러스문화센터서울상봉점,사업장부설,유통업체 문화센터,020-87,서울특별시 중랑구 망우로 353(상봉동),,02-6922-8103
2023,서울,중랑구  ,서울여성직업능력개발원원격평생교육원,원격형태,,020-07,서울특별시 중랑구 동일로157길 60(묵동),기림빌딩 B동 406호,02-458-8300
2023,서울,중랑구  ,이마트상봉점컬처클럽,사업장부설,유통업체 문화센터,021-69,서울특별시 중랑구 상봉로 118(망우동),4층 컬처클럽(문화센터),02-490-1250
2023,서울,동대문구,두넷평생교육원,원격형태,,025-83,서울특별시 동대문구 무학로33길 4,,02-6215-7045
2023,서울,동대문구,배울학원격평생교육원,원격형태,,025-67,서울특별시 동대문구 왕산로26길 35,301호,02-1644-4613
2023,서울,동대문구,구당침뜸평생교육원,시민사회단체부설,,024-64,서울특별시 동대문구 제기로 93(청량리동),,02-964-7994
2023,서울,중랑구  ,한국진로직업교육개발원평생교육원,원격형태,,020-07,서울특별시 중랑구 동일로157길 60(묵동),B동403호,02-3296-5271
2023,서울,동대문구,지식캠퍼스평생교육원,원격형태,,024-98,서울특별시 동대문구 망우로18길 33,지1층 일부 4층 일부,1670-6016
2023,서울,중랑구  ,올바른교육원격평생교육원,원격형태,,020-03,서울특별시 중랑구 중랑역로 227(묵동 청록태권도),3층우측,070-4465-8108
2023,서울,중랑구  ,차이홍스퀘어중랑평생교육원,지식·인력개발형태,,020-05,서울특별시 중랑구 동일로 933(묵동),,02-972-3060
2023,서울,동대문구,SB사이버평생교육원,원격형태,,025-69,서울특별시 동대문구 왕산로 117 14층 10-1호 12호,,02-1644-6959
2023,서울,중랑구  ,한국자격증무료수강원격평생교육원,원격형태,,020-07,서울특별시 중랑구 동일로157길 60(묵동),A동 407호,02-582-8690
2023,서울,동대문구,서울폴리텍평생교육원,원격형태,,025-69,서울특별시 동대문구 왕산로 117,3층 일부(좌측)_ 14층 14-10호_ 14-4호_ 14-5호,02-1544-1514
